2019-02-01T09:15:41.838595Z chan=cowrie, saddr=96229075, sport=58006, dport=22, daddr=1486266390, url=0, hash=asdasd
2019-02-01T09:15:49.353577Z chan=cowrie, saddr=3328327405, sport=52900, dport=23, daddr=2953477440, url=0, hash=asdasd
2019-02-01T09:15:50.060128Z chan=cowrie, saddr=3328327405, sport=54307, dport=23, daddr=3117093447, url=0, hash=asdasd
2019-02-01T09:16:01.645495Z chan=cowrie, saddr=3365534203, sport=35304, dport=23, daddr=3259247755, url=0, hash=asdasd
2019-02-01T09:15:55.225262Z chan=cowrie, saddr=1761118117, sport=54920, dport=23, daddr=1741161782, url=0, hash=asdasd
2019-02-01T09:15:50.001777Z chan=cowrie, saddr=1761093101, sport=41169, dport=23, daddr=3225941109, url=0, hash=asdasd
2019-02-01T09:15:41.877144Z chan=cowrie, saddr=1844971879, sport=38832, dport=22, daddr=400901243, url=0, hash=asdasd
2019-02-01T09:15:49.147695Z chan=cowrie, saddr=3328327405, sport=52781, dport=23, daddr=1431866021, url=0, hash=asdasd
2019-02-01T09:15:48.687553Z chan=cowrie, saddr=3328327405, sport=48872, dport=23, daddr=3282664829, url=0, hash=asdasd
2019-02-01T09:15:47.673327Z chan=cowrie, saddr=3328327405, sport=41771, dport=23, daddr=2988517911, url=0, hash=asdasd
2019-02-01T09:15:55.423322Z chan=cowrie, saddr=3328327405, sport=55383, dport=23, daddr=2692218288, url=0, hash=asdasd
2019-02-01T09:15:52.986228Z chan=cowrie, saddr=1890169649, sport=36663, dport=23, daddr=3259243132, url=0, hash=asdasd
2019-02-01T09:15:44.743870Z chan=cowrie, saddr=1761118117, sport=47290, dport=23, daddr=1542536598, url=0, hash=asdasd
2019-02-01T09:15:48.279053Z chan=cowrie, saddr=3328327405, sport=56195, dport=23, daddr=3259676145, url=0, hash=asdasd
2019-02-01T09:15:47.898177Z chan=cowrie, saddr=3328327405, sport=32789, dport=23, daddr=3259676145, url=0, hash=asdasd
2019-02-01T09:15:56.028912Z chan=cowrie, saddr=1761118117, sport=43340, dport=23, daddr=1729870152, url=0, hash=asdasd
2019-02-01T09:16:00.103938Z chan=cowrie, saddr=2649118250, sport=44144, dport=23, daddr=1388487729, url=0, hash=asdasd
2019-02-01T09:15:44.635827Z chan=cowrie, saddr=2649118250, sport=35438, dport=23, daddr=1542536598, url=0, hash=asdasd
2019-02-01T09:15:51.367021Z chan=cowrie, saddr=3328327405, sport=60817, dport=23, daddr=3225941109, url=0, hash=asdasd
2019-02-01T09:15:57.049950Z chan=cowrie, saddr=3272349746, sport=38342, dport=23, daddr=3272356540, url=0, hash=asdasd
2019-02-01T09:15:48.139607Z chan=cowrie, saddr=1761118117, sport=49383, dport=23, daddr=3225941109, url=0, hash=asdasd
2019-02-01T09:15:50.392203Z chan=cowrie, saddr=3328327405, sport=57396, dport=23, daddr=3225941109, url=0, hash=asdasd
2019-02-01T09:15:52.800865Z chan=cowrie, saddr=1761093101, sport=39285, dport=23, daddr=1741161782, url=0, hash=asdasd
2019-02-01T09:15:47.078460Z chan=cowrie, saddr=3515693497, sport=53379, dport=23, daddr=1741161782, url=0, hash=asdasd
2019-02-01T09:15:47.962182Z chan=cowrie, saddr=3328327405, sport=57510, dport=23, daddr=1348085522, url=0, hash=asdasd
2019-02-01T09:15:48.315839Z chan=cowrie, saddr=3328327405, sport=53572, dport=23, daddr=1348085522, url=0, hash=asdasd
2019-02-01T09:15:48.155778Z chan=cowrie, saddr=3328327405, sport=39502, dport=23, daddr=1348085522, url=0, hash=asdasd
2019-02-01T09:15:48.179198Z chan=cowrie, saddr=3328327405, sport=50501, dport=23, daddr=1348085522, url=0, hash=asdasd
2019-02-01T09:15:37.398678Z chan=cowrie, saddr=96229075, sport=34974, dport=22, daddr=520330030, url=0, hash=asdasd
2019-02-01T09:15:38.482496Z chan=cowrie, saddr=1578822148, sport=41158, dport=22, daddr=3235049349, url=0, hash=asdasd
2019-02-01T09:15:49.609778Z chan=cowrie, saddr=1761118117, sport=54011, dport=23, daddr=763208724, url=0, hash=asdasd
2019-02-01T09:15:38.625452Z chan=cowrie, saddr=860735780, sport=40494, dport=22, daddr=1805756753, url=0, hash=asdasd
2019-02-01T09:15:44.569803Z chan=cowrie, saddr=3328327405, sport=54419, dport=23, daddr=2953477440, url=0, hash=asdasd
2019-02-01T09:15:48.614391Z chan=cowrie, saddr=1761118117, sport=48081, dport=23, daddr=763208724, url=0, hash=asdasd
2019-02-01T09:15:35.634662Z chan=cowrie, saddr=96229171, sport=47808, dport=22, daddr=1486266390, url=0, hash=asdasd
2019-02-01T09:15:48.658845Z chan=cowrie, saddr=3328327405, sport=57304, dport=23, daddr=763208724, url=0, hash=asdasd
2019-02-01T09:15:42.091953Z chan=cowrie, saddr=92337221, sport=42113, dport=23, daddr=2988517911, url=0, hash=asdasd
2019-02-01T09:15:48.637750Z chan=cowrie, saddr=3328327405, sport=33626, dport=23, daddr=763208724, url=0, hash=asdasd
2019-02-01T09:15:45.416067Z chan=cowrie, saddr=3328327405, sport=38810, dport=23, daddr=646213393, url=0, hash=asdasd
2019-02-01T09:15:40.657926Z chan=cowrie, saddr=1761118117, sport=51857, dport=23, daddr=1542536598, url=0, hash=asdasd
2019-02-01T09:15:43.774934Z chan=cowrie, saddr=2649118250, sport=42763, dport=23, daddr=646213393, url=0, hash=asdasd
2019-02-01T09:16:10.119622Z chan=cowrie, saddr=1761118117, sport=39813, dport=23, daddr=1755119343, url=0, hash=asdasd
2019-02-01T09:15:35.583152Z chan=cowrie, saddr=3564256455, sport=50550, dport=22, daddr=1815968760, url=0, hash=asdasd
2019-02-01T09:15:58.866545Z chan=cowrie, saddr=2680888115, sport=57672, dport=23, daddr=1388487729, url=0, hash=asdasd
2019-02-01T09:16:10.009076Z chan=cowrie, saddr=1761118117, sport=45872, dport=23, daddr=2448375795, url=0, hash=asdasd
2019-02-01T09:15:45.399436Z chan=cowrie, saddr=3328327405, sport=37949, dport=23, daddr=1348085522, url=0, hash=asdasd
2019-02-01T09:15:41.768252Z chan=cowrie, saddr=3328327405, sport=58376, dport=23, daddr=1815968760, url=0, hash=asdasd
2019-02-01T09:15:51.249336Z chan=cowrie, saddr=3328327405, sport=52241, dport=23, daddr=1734884725, url=0, hash=asdasd
2019-02-01T09:15:46.545737Z chan=cowrie, saddr=3328327405, sport=33779, dport=23, daddr=763208724, url=0, hash=asdasd
2019-02-01T09:15:36.320569Z chan=cowrie, saddr=3197111978, sport=34722, dport=22, daddr=763208724, url=0, hash=asdasd
2019-02-01T09:15:46.913511Z chan=cowrie, saddr=3328327405, sport=54960, dport=23, daddr=763208724, url=0, hash=asdasd
2019-02-01T09:16:04.454974Z chan=cowrie, saddr=1945040142, sport=41644, dport=22, daddr=762476265, url=0, hash=asdasd
2019-02-01T09:15:45.634112Z chan=cowrie, saddr=2649118250, sport=41603, dport=23, daddr=1388487729, url=0, hash=asdasd
2019-02-01T09:16:09.007783Z chan=cowrie, saddr=1761118117, sport=53422, dport=23, daddr=2667565868, url=0, hash=asdasd
