2019-02-08T16:40:31.201356Z chan=cowrie, saddr=1, sport=5, dport=0, daddr=8, url=0, hash=h
2019-02-08T16:41:18.664099Z chan=cowrie, saddr=1, sport=2, dport=0, daddr=5, url=0, hash=h
2019-02-08T16:40:31.914113Z chan=cowrie, saddr=6, sport=0, dport=0, daddr=1, url=0, hash=h
2019-02-08T16:40:28.830088Z chan=cowrie, saddr=6, sport=7, dport=0, daddr=7, url=0, hash=h
2019-02-08T16:40:19.494340Z chan=cowrie, saddr=2, sport=1, dport=1, daddr=7, url=0, hash=h
2019-02-08T16:40:23.400639Z chan=cowrie, saddr=8, sport=3, dport=1, daddr=9, url=0, hash=h
2019-02-08T16:40:18.926075Z chan=cowrie, saddr=2, sport=7, dport=1, daddr=5, url=0, hash=h
2019-02-08T16:40:31.982777Z chan=cowrie, saddr=6, sport=7, dport=0, daddr=1, url=0, hash=h
2019-02-08T16:41:17.173548Z chan=cowrie, saddr=1, sport=8, dport=0, daddr=5, url=0, hash=h
2019-02-08T16:40:27.816099Z chan=cowrie, saddr=6, sport=3, dport=0, daddr=0, url=0, hash=h
2019-02-08T16:40:53.271652Z chan=cowrie, saddr=1, sport=8, dport=0, daddr=6, url=0, hash=h
2019-02-08T16:40:26.014866Z chan=cowrie, saddr=6, sport=1, dport=0, daddr=7, url=0, hash=h
2019-02-08T16:40:18.059326Z chan=cowrie, saddr=5, sport=5, dport=1, daddr=6, url=0, hash=h
2019-02-08T16:41:16.362367Z chan=cowrie, saddr=1, sport=8, dport=0, daddr=5, url=0, hash=h
2019-02-08T16:40:17.793980Z chan=cowrie, saddr=2, sport=7, dport=1, daddr=0, url=0, hash=h
2019-02-08T16:40:17.726925Z chan=cowrie, saddr=5, sport=9, dport=1, daddr=6, url=0, hash=h
2019-02-08T16:40:26.282541Z chan=cowrie, saddr=1, sport=0, dport=0, daddr=8, url=0, hash=h
2019-02-08T16:40:54.301206Z chan=cowrie, saddr=1, sport=0, dport=0, daddr=9, url=0, hash=h
2019-02-08T16:40:54.311133Z chan=cowrie, saddr=1, sport=7, dport=0, daddr=9, url=0, hash=h
2019-02-08T16:40:17.012189Z chan=cowrie, saddr=2, sport=2, dport=1, daddr=5, url=0, hash=h
2019-02-08T16:40:53.272808Z chan=cowrie, saddr=1, sport=8, dport=0, daddr=2, url=0, hash=h
2019-02-08T16:40:53.261355Z chan=cowrie, saddr=1, sport=3, dport=0, daddr=2, url=0, hash=h
2019-02-08T16:40:24.689037Z chan=cowrie, saddr=6, sport=2, dport=0, daddr=5, url=0, hash=h
2019-02-08T16:40:18.719710Z chan=cowrie, saddr=5, sport=8, dport=1, daddr=7, url=0, hash=h
2019-02-08T16:40:16.525797Z chan=cowrie, saddr=2, sport=5, dport=1, daddr=6, url=0, hash=h
2019-02-08T16:41:04.693765Z chan=cowrie, saddr=1, sport=8, dport=0, daddr=5, url=0, hash=h
